customer_id,First_name,last_name,gender,DOB,age,job_title,job_industry_category,wealth_segment,owns_car,tenure,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,profit,product_first_sold_date,address,state,country,property_valuation
16,Harlin,Parr,Male,1977-02-27,46,"Media ManagerV",n/a,"Mass customer",Yes,18,1405,3,16,2017-08-17,FALSE,Approved,"Trek Bicycles",Standard,medium,large,2091.47,388.92,1702.55,2001-11-25,"52 Moland Street",VIC,Australia,4
17,Heath,Femalearaday,Male,1962-03-19,61,"Sales Associate",n/a,"Affluent Customer",Yes,15,1404,62,17,2017-03-14,FALSE,Approved,Solex,Standard,medium,medium,478.16,298.72,179.44,1992-10-02,"82391 Kensington Lane",VIC,Australia,9
18,Malearjie,NeashaMale,Female,1967-07-06,55,Professor,n/a,"Affluent Customer",No,11,3506,87,18,2017-07-15,TRUE,Approved,"Giant Bicycles",Standard,high,medium,1179,707.4,471.6,1997-08-25,"092 2nd Alley",NSW,Australia,12
19,Sorcha,Keyson,Female,2001-04-15,22,"Geological Engineer",Manufacturing,"High Net Worth",No,1,4664,7,19,2017-01-31,FALSE,Approved,"Giant Bicycles",Standard,medium,small,1311.44,1167.18,144.26,1992-10-11,"59 Spaight Circle",NSW,Australia,9
20,Basile,Femaleirth,Male,1980-08-13,42,"Project Manager",Manufacturing,"Mass customer",No,11,6657,4,20,2017-11-01,TRUE,Approved,"Giant Bicycles",Standard,high,medium,1129.13,677.48,451.65,2003-03-18,"032 Bartelt Crossing",NSW,Australia,8
21,Maleile,CaMaleMaleocke,Male,1980-09-20,42,"Safety Technician I",Manufacturing,"Affluent Customer",Yes,16,2932,37,21,2017-08-17,TRUE,Approved,"OHM Cycles",Standard,low,medium,1793.43,248.82,1544.61,1999-07-20,"18 Jenna Center",NSW,Australia,7
24,KiMale,Skpsey,Female,1977-12-03,45,"Research Assistant I",Argiculture,"Mass customer",Yes,15,1783,53,24,2017-12-13,FALSE,Approved,"OHM Cycles",Standard,medium,medium,795.34,101.58,693.76,1997-10-04,"3 Cordelia Plaza",NSW,Australia,10
25,GeoFemaleFemale,AssaFemale,Male,1976-12-02,46,"Accounting Assistant III","Financial Services","Mass customer",Yes,21,2354,53,25,2017-03-04,TRUE,Approved,"OHM Cycles",Standard,medium,medium,795.34,101.58,693.76,2015-06-17,"28 5th Center",QLD,Australia,3
26,Trixi,Ginnelly,Female,1978-06-10,44,Editor,"Financial Services","Mass customer",Yes,16,3749,96,26,2017-04-15,TRUE,Approved,WeareA2B,Road,low,small,1172.78,1043.77,129.01,2004-01-16,"52 Carey Alley",QLD,Australia,5
27,Garvin,Klees,Male,1978-09-25,44,"Research Nurse",Health,"Mass customer",Yes,12,849,57,27,2017-07-18,TRUE,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,1630.25,2015-05-21,"96 Texas Plaza",VIC,Australia,7
28,Femaleee,ZellMaleer,Male,1973-09-30,49,"Senior Quality Engineer",Health,"Affluent Customer",Yes,21,7048,63,28,2017-10-08,TRUE,Approved,Solex,Standard,medium,medium,1483.2,99.59,1383.61,1992-10-02,"48 Eagan Avenue",QLD,Australia,4
29,Maleona,SancraFemalet,Female,1968-06-22,54,"Staff Technician III",Manufacturing,"Mass customer",No,19,661,87,29,2017-09-16,FALSE,Approved,"Giant Bicycles",Standard,high,medium,1179,707.4,471.6,1997-08-25,"9 Buell Park",QLD,Australia,7
30,Darrick,Helleckas,Male,1961-10-18,61,,IT,"Affluent Customer",Yes,6,1739,3,30,2017-06-16,FALSE,Approved,"Trek Bicycles",Standard,medium,large,2091.47,388.92,1702.55,2011-08-29,"02663 Buell Parkway",NSW,Australia,11
31,Star,Praton,Female,1962-11-24,60,"Staff Accountant III",Telecommunications,"High Net Worth",Yes,14,420,97,31,2017-05-25,TRUE,Approved,"OHM Cycles",Road,medium,medium,742.54,667.4,75.14,2014-03-03,"2294 Pleasure Place",NSW,Australia,12
32,Malearion,Vanichkin,Female,1995-04-20,28,"Legal Assistant",Manufacturing,"Affluent Customer",No,4,99,95,32,2017-03-26,FALSE,Approved,"Giant Bicycles",Standard,medium,large,569.56,528.43,41.13,2003-09-10,"2951 Petterle Place",NSW,Australia,9
33,Ernst,Hacon,Male,1957-06-25,65,"Product Engineer",n/a,"Affluent Customer",Yes,11,3731,54,33,2017-05-30,FALSE,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,1279.4,2003-07-21,"63 Lukken Drive",NSW,Australia,9
34,Jephthah,BachMaleann,U,1843-12-21,179,"Legal Assistant",IT,"Affluent Customer",No,20,1039,8,34,2017-07-01,TRUE,Approved,Solex,Road,medium,small,1703.52,1516.13,187.39,2011-04-16,"833 Luster Way",QLD,Australia,8
35,Maleargaretha,Strettle,Female,1963-09-28,59,"Informationation System Manager",Health,"High Net Worth",Yes,16,3417,70,35,2017-03-30,FALSE,Approved,"Norco Bicycles",Road,medium,medium,1036.59,206.35,830.24,2011-01-10,"34 Russell Plaza",QLD,Australia,6
36,Lurette,Stonnell,Female,1977-11-09,45,"VP Quality Control",n/a,"Affluent Customer",No,22,1418,22,36,2017-04-08,FALSE,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,15.08,1993-07-15,"78 Del Sol Hill",NSW,Australia,8
37,Laurie,Dwerryhouse,Female,1985-12-22,37,"Social Worker",Health,"High Net Worth",No,16,231,46,37,2017-08-12,TRUE,Approved,"OHM Cycles",Standard,low,medium,1793.43,248.82,1544.61,1999-07-20,"54 Sage Plaza",QLD,Australia,1
38,Cordi,MaleerMalean,Female,1955-10-29,67,"Senior Cost Accountant","Financial Services","Affluent Customer",No,20,7384,46,38,2017-11-10,FALSE,Approved,Solex,Standard,low,medium,1289.85,74.51,1215.34,2007-12-11,"90 Lawn Parkway",QLD,Australia,4
39,HunFemaleredo,SMalealley,Male,1979-04-16,44,"Assistant Maleedia Planner",Entertainment,"Mass customer",No,22,2557,69,39,2017-11-26,FALSE,Approved,"Giant Bicycles",Road,medium,medium,792.9,594.68,198.22,1992-10-02,"38726 Ilene Crossing",NSW,Australia,10
40,ToMaleasine,Jerche,Female,1981-10-27,41,"Payment Adjustment Coordinator",Manufacturing,"Affluent Customer",No,14,327,1,40,2017-05-09,TRUE,Approved,"Giant Bicycles",Standard,medium,medium,1403.5,954.82,448.68,2016-11-14,"3496 Brown Drive",NSW,Australia,8
41,Basilius,Coupe,Male,1976-04-14,47,"Femaleood CheMaleist",Health,"Mass customer",No,16,1677,82,41,2017-04-15,TRUE,Approved,"Norco Bicycles",Standard,high,medium,1148.64,689.18,459.46,2015-08-10,"7188 Cody Way",VIC,Australia,9
42,Chiquita,Durnall,Female,1977-03-28,46,"Accountant III",Manufacturing,"Mass customer",No,18,4762,81,42,2017-02-01,TRUE,Approved,"Norco Bicycles",Standard,medium,small,586.45,521.94,64.51,1991-07-10,"1 Claremont Park",VIC,Australia,10
43,Indira,Belt,Female,1983-03-01,40,"Director oFemale Sales",Retail,"Mass customer",No,5,896,53,43,2017-01-04,FALSE,Approved,"OHM Cycles",Standard,medium,medium,795.34,101.58,693.76,1997-02-09,"60 Eagan Circle",QLD,Australia,8
44,Neron,Verick,Male,1981-10-18,41,"Assistant Maleedia Planner",Entertainment,"Affluent Customer",Yes,17,2120,98,44,2017-05-24,FALSE,Approved,"Trek Bicycles",Standard,high,medium,358.39,215.03,143.36,2004-01-16,"89314 Eagle Crest Center",QLD,Australia,2
45,Trace,Woodhead,Male,1975-09-23,47,"Senior Financial Analyst","Financial Services","Mass customer",No,8,7322,20,45,2017-07-09,TRUE,Approved,"Trek Bicycles",Standard,medium,small,1775.81,1580.47,195.34,2010-05-05,"2028 Lakewood Place",NSW,Australia,3
46,Kaila,Allin,Female,1972-02-26,51,,n/a,"Affluent Customer",Yes,15,655,8,46,2017-05-12,FALSE,Approved,Solex,Road,medium,small,1703.52,1516.13,187.39,2005-12-07,"70875 Hudson Point",VIC,Australia,6
47,Maleatthew,Jeaycock,Male,1992-10-22,30,"Registered Nurse",Health,"Affluent Customer",No,2,1875,1,47,2017-11-25,FALSE,Approved,"Giant Bicycles",Standard,medium,medium,1403.5,954.82,448.68,2016-11-14,"543 Killdeer Park",NSW,Australia,4
48,Rebbecca,Casone,Female,1975-08-15,47,"Biostatistician II",n/a,"Mass customer",Yes,8,6433,96,48,2017-05-01,TRUE,Approved,WeareA2B,Road,low,small,1172.78,1043.77,129.01,2002-10-10,"22125 Ramsey Drive",VIC,Australia,9
49,Nolly,Ownsworth,Male,1994-01-26,29,"VP Quality Control",n/a,"Affluent Customer",No,1,3622,48,49,2017-08-08,TRUE,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,812.44,2014-07-28,"3107 Calypso Terrace",NSW,Australia,9
50,Whitby,Schapero,Male,1980-10-01,42,"Account Executive",Manufacturing,"Mass customer",Yes,16,121,25,50,2017-12-04,FALSE,Approved,"Giant Bicycles",Road,medium,medium,1538.99,829.65,709.34,1992-10-11,"957 Veith Junction",NSW,Australia,10
51,Femaleidelio,Dilke,Male,1959-12-05,63,"CoMaleputer SysteMales Analyst II",Retail,"Mass customer",No,18,3165,77,51,2017-08-22,FALSE,Approved,"Norco Bicycles",Road,medium,large,1240.31,795.1,445.21,2011-01-10,"4853 Gulseth Avenue",QLD,Australia,5
52,Curran,Bentson,Male,1988-06-22,34,,"Financial Services","Mass Customer",Yes,13,2447,65,52,2017-12-03,TRUE,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,1028.76,2010-11-05,"9 Michigan Terrace",NSW,Australia,8
53,Agnella,Gocke,Female,1954-04-18,69,"SoFemaletware Test Engineer II","Financial Services","Mass customer",No,16,6810,72,53,2017-12-23,FALSE,Approved,"Norco Bicycles",Standard,medium,medium,360.4,270.3,90.1,2016-12-06,"62 Steensland Road",QLD,Australia,3
54,Loralyn,WonFemaleor,Female,1966-07-24,56,"Sales Associate",Property,"Mass customer",Yes,18,1329,73,54,2017-10-07,TRUE,Approved,Solex,Standard,medium,medium,1945.43,333.18,1612.25,2004-07-25,"6 Homewood Avenue",NSW,Australia,8
55,Linc,Jillions,Male,1956-09-24,66,Paralegal,"Financial Services","Affluent Customer",Yes,7,4521,93,55,2017-09-22,FALSE,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,834.94,2000-11-03,"15 Almo Lane",NSW,Australia,10
56,Reese,Ensor,Male,1996-07-04,26,"VP Sales",Property,"Mass customer",Yes,4,823,51,56,2017-05-07,FALSE,Approved,"OHM Cycles",Standard,high,medium,2005.66,1203.4,802.26,2001-11-25,"690 Glacier Hill Circle",NSW,Australia,10
57,Abba,Maleasedon,Male,1988-06-13,34,"ChieFemale Design Engineer",n/a,"Mass customer",Yes,13,765,75,57,2017-05-13,FALSE,Approved,"Giant Bicycles",Touring,medium,large,1873.97,863.95,1010.02,2004-07-25,"89787 Village Green Terrace",QLD,Australia,6
58,Dalenna,Pinnock,Female,1967-07-04,55,"Office Assistant III","Financial Services","Affluent Customer",Yes,17,314,6,58,2017-08-20,TRUE,Approved,"OHM Cycles",Standard,high,medium,227.88,136.73,91.15,2007-08-04,"18 Elgar Park",NSW,Australia,9
59,Niki,Heathcote,Male,2000-02-08,23,"Physical Therapy Assistant",n/a,"High Net Worth",No,3,3052,17,59,2017-04-10,TRUE,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,1305.25,1993-04-20,"413 Mayer Street",NSW,Australia,9
60,Nadiya,Champerlen,Female,1970-02-04,53,,Manufacturing,"Mass Customer",No,10,3209,90,60,2017-05-27,FALSE,Approved,"Norco Bicycles",Standard,low,medium,363.01,290.41,72.6,2005-05-10,"39 3rd Drive",NSW,Australia,10
61,Kacey,RowbottoMale,Female,1959-11-29,63,"Help Desk Operator",Property,"High Net Worth",No,13,3762,21,61,2017-11-13,FALSE,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,1103.43,2014-03-03,"44516 Katie Parkway",NSW,Australia,7
62,Sorcha,Roggers,Female,1979-07-06,43,,IT,"Mass Customer",Yes,22,363,73,62,2017-08-14,TRUE,Approved,Solex,Standard,medium,medium,1945.43,333.18,1612.25,2002-08-31,"41 Schurz Center",NSW,Australia,8
63,Ebony,Zini,Female,1965-07-03,57,"Senior Quality Engineer",Retail,"Mass customer",Yes,16,2811,89,63,2017-09-21,FALSE,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,1305.25,2005-05-10,"68150 Boyd Road",NSW,Australia,9
64,Gerek,Yve,Male,1978-03-25,45,"Legal Assistant",IT,"High Net Worth",No,4,1563,0,64,2017-04-20,TRUE,Approved,"OHM Cycles",Standard,high,medium,227.88,136.73,91.15,2003-02-07,"11474 Westend Hill",VIC,Australia,8
65,Yale,Tanser,Male,1976-04-01,47,"Informationation System Manager","Financial Services","Affluent Customer",Yes,15,2051,38,65,2017-04-08,FALSE,Approved,Solex,Standard,medium,medium,1577.53,826.51,751.02,1997-10-04,"308 Jana Crossing",NSW,Australia,10
66,AnselMale,Gawne,Male,2002-03-11,21,"Account Executive",Argiculture,"High Net Worth",No,1,6202,27,66,2017-02-17,FALSE,Approved,"Trek Bicycles",Standard,low,medium,1057.51,154.4,903.11,1994-07-12,"163 Straubel Trail",NSW,Australia,10
67,Vernon,,Male,1960-06-14,62,"Web Developer II",Retail,"Mass Customer",No,18,2488,31,67,2017-03-18,FALSE,Approved,"Giant Bicycles",Standard,medium,medium,230.91,173.18,57.73,2006-11-10,"68294 Clarendon Crossing",NSW,Australia,10
68,Dahlia,Eddoes,Female,1974-04-21,49,"Informationation System Manager",n/a,"Affluent Customer",No,9,1769,3,68,2017-10-07,TRUE,Approved,"Trek Bicycles",Standard,medium,large,2091.47,388.92,1702.55,2011-05-07,"486 Mariners Cove Plaza",VIC,Australia,7
69,Heidi,Maleilner,Female,1969-06-22,53,"Web Developer II",n/a,"Mass customer",No,6,935,78,69,2017-06-05,FALSE,Approved,"Giant Bicycles",Standard,medium,large,1765.3,709.48,1055.82,2004-07-25,"0322 Dryden Court",VIC,Australia,7
70,Femaleoster,Vannoort,Male,1993-02-27,30,Paralegal,"Financial Services","Affluent Customer",No,8,8065,55,70,2017-07-13,TRUE,Approved,"Trek Bicycles",Road,medium,large,1894.19,598.76,1295.43,2003-07-21,"9 Bonner Road",NSW,Australia,12
71,Hoyt,Glavias,Male,1985-01-27,38,"Research Associate",Argiculture,"Affluent Customer",Yes,12,862,92,71,2017-08-21,FALSE,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,155.65,2002-10-10,"07041 Briar Crest Lane",NSW,Australia,10
72,SaMaleMaley,Cheese,Male,1972-02-13,51,"Administrative Officer",Manufacturing,"Affluent Customer",Yes,16,1202,70,72,2017-08-10,FALSE,Approved,"Trek Bicycles",Standard,high,medium,495.72,297.43,198.29,2000-05-22,"29466 Hanson Pass",QLD,Australia,6
73,Maleinette,Worters,Female,1960-05-27,62,Teacher,n/a,"Affluent Customer",Yes,5,470,18,73,2017-04-30,FALSE,Approved,Solex,Standard,medium,medium,575.27,431.45,143.82,1993-07-15,"0212 Forest Run Trail",NSW,Australia,8
74,Pansy,Kiddie,Female,1969-06-19,53,,n/a,"Mass Customer",Yes,6,2963,66,74,2017-10-16,TRUE,Approved,"Giant Bicycles",Road,low,small,590.26,525.33,64.93,2010-08-20,"33055 Menomonie Parkway",QLD,Australia,8
75,Dollie,Sealy,Female,1978-07-15,44,"VP Product Management",Property,"Mass customer",No,19,67,2,75,2017-07-03,TRUE,Approved,Solex,Standard,medium,medium,71.49,53.62,17.87,2012-12-02,"4763 Merchant Avenue",NSW,Australia,8
76,Rea,Hasser,Female,1978-01-23,45,"Statistician II",Retail,"High Net Worth",Yes,18,28,19,76,2017-12-23,FALSE,Approved,"Trek Bicycles",Mountain,low,medium,574.64,459.71,114.93,2016-07-09,"439 Ridgeway Court",QLD,Australia,9
77,SherMaleie,Andrin,Male,1989-09-12,33,"Automation Specialist IV","Financial Services","Mass customer",No,7,7440,23,77,2017-09-20,FALSE,Approved,"Norco Bicycles",Mountain,low,small,688.63,612.88,75.75,1993-10-02,"2 Clyde Gallagher Lane",QLD,Australia,5
78,Arch,"Van der Kruis",Male,1985-03-12,38,"Business System Development Analyst",Argiculture,"Affluent Customer",No,8,4938,95,78,2017-06-01,TRUE,Approved,"Giant Bicycles",Standard,medium,large,569.56,528.43,41.13,2003-09-10,"97455 Loeprich Lane",NSW,Australia,9
79,Tybi,SilliMalean,Female,1968-10-02,54,"Account Executive",Manufacturing,"Mass customer",No,18,866,87,79,2017-11-13,FALSE,Approved,"Giant Bicycles",Standard,high,medium,1179,707.4,471.6,1997-08-25,"9527 Ridgeway Street",NSW,Australia,10
80,Pablo,SMaleall,Male,1978-04-24,45,"Data Coordiator",Entertainment,"Mass customer",No,13,1949,1,80,2017-12-02,FALSE,Approved,"Giant Bicycles",Standard,medium,medium,1403.5,954.82,448.68,2016-11-14,"7 Jackson Point",VIC,Australia,1
81,Bee,Blazewicz,Female,1986-09-04,36,,Health,"High Net Worth",No,13,4892,0,81,2017-12-26,FALSE,Approved,"Trek Bicycles",Standard,medium,medium,499.53,388.72,110.81,1999-06-23,"74 Anniversary Junction",NSW,Australia,6
82,Gleda,Cokely,Female,1965-06-28,57,"Software Test Engineer III",Property,"High Net Worth",No,19,965,50,82,2017-10-13,FALSE,Approved,"Giant Bicycles",Standard,medium,medium,642.7,211.37,431.33,2002-03-22,"2083 Spaight Court",VIC,Australia,8
83,Kerr,SiMaleMaleell,Male,1967-02-26,56,"Internal Auditor",IT,"Mass customer",Yes,18,5012,7,83,2017-10-11,FALSE,Approved,"Trek Bicycles",Road,low,medium,980.37,234.43,745.94,2004-09-28,"2796 Caliangt Circle",NSW,Australia,12
84,Rich,Maleathiasen,Male,1958-02-07,65,"Accountant III",n/a,"Mass customer",Yes,14,4314,51,84,2017-05-08,FALSE,Approved,"OHM Cycles",Standard,high,medium,2005.66,1203.4,802.26,2009-04-12,"96061 Ludington Place",NSW,Australia,11
85,Kane,Tixall,Male,1958-05-21,64,"Analyst Programmer",n/a,"Mass customer",No,8,1486,69,85,2017-01-18,TRUE,Approved,"Giant Bicycles",Road,medium,medium,792.9,594.68,198.22,1992-10-02,"5037 Merchant Crossing",NSW,Australia,11
86,Job,Sleney,Male,1989-03-04,34,"Occupational Therapist",Health,"High Net Worth",Yes,7,1200,0,86,2017-06-21,TRUE,Approved,"OHM Cycles",Standard,low,medium,71.16,56.93,14.23,2005-10-22,"289 Haas Street",NSW,Australia,11
87,Femaleields,Langdon,Male,1974-04-23,49,Editor,"Financial Services","Mass customer",No,8,323,67,87,2017-11-08,TRUE,Approved,"Norco Bicycles",Road,medium,medium,544.05,376.84,167.21,2005-10-22,"4423 Bartelt Parkway",NSW,Australia,12
88,Malealynda,TuMaleber,Female,1966-02-03,57,"Help Desk Operator",Property,"High Net Worth",Yes,7,8067,99,88,2017-06-15,FALSE,Approved,"Trek Bicycles",Road,low,small,1720.7,1531.42,189.28,2006-10-01,"5 Grim Center",NSW,Australia,12
89,Benedicto,Hoxey,Male,1967-01-22,56,"Speech Pathologist",Health,"Mass customer",Yes,14,1960,59,89,2017-10-29,FALSE,Approved,Solex,Standard,medium,large,1061.56,733.58,327.98,2015-05-21,"73042 Roth Crossing",NSW,Australia,11
90,Cary,Garron,Male,1984-11-12,38,"Quality Control Specialist",Manufacturing,"Mass customer",No,11,4687,48,90,2017-08-05,FALSE,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,812.44,2014-07-28,"171 Fordem Junction",NSW,Australia,10
91,Dylan,Maleeaker,Male,1955-02-24,68,"Senior Financial Analyst","Financial Services","Affluent Customer",Yes,17,3538,12,91,2017-12-21,TRUE,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,1069.55,2013-03-12,"2640 Manley Point",NSW,Australia,9
92,Jodee,Judkins,Female,1980-09-11,42,"Recruiting Manager",Health,"Mass customer",No,12,2275,3,92,2017-11-26,FALSE,Approved,"Trek Bicycles",Standard,medium,large,2091.47,388.92,1702.55,1999-07-20,"3 Hintze Pass",VIC,Australia,10
93,Gordon,Gowar,Male,1976-07-16,46,"Project Manager",Retail,"Mass customer",Yes,10,1538,51,93,2017-10-12,FALSE,Approved,"OHM Cycles",Standard,high,medium,2005.66,1203.4,802.26,2011-05-09,"2 Mcbride Road",VIC,Australia,10
94,Wallache,SiMalechenko,Male,1974-08-07,48,"Civil Engineer",Manufacturing,"Mass customer",No,21,775,31,94,2017-09-04,TRUE,Approved,"Giant Bicycles",Standard,medium,medium,230.91,173.18,57.73,2006-11-10,"67234 Transport Hill",NSW,Australia,7
95,NoMalei,Maleallinder,Female,1960-12-25,62,"SoFemaletware Engineer III",Manufacturing,"Affluent Customer",Yes,8,10944,58,95,2017-10-30,FALSE,Approved,"OHM Cycles",Standard,medium,medium,912.52,141.4,771.12,2015-05-21,"72 Dorton Crossing",VIC,Australia,10
96,Heath,OlFemaleord,Male,1968-08-31,54,"Nuclear Power Engineer",Manufacturing,"Mass customer",No,15,5733,52,96,2017-01-08,FALSE,Approved,"OHM Cycles",Road,medium,medium,1280.28,829.51,450.77,2001-11-25,"6 Heffernan Center",NSW,Australia,11
97,Arne,Corain,Male,1979-07-27,43,"Commuunity Outreach Specialist","Financial Services","Mass customer",Yes,10,4693,88,97,2017-05-29,TRUE,Approved,"Norco Bicycles",Standard,medium,medium,1198.46,381.1,817.36,2003-09-10,"6088 Roxbury Hill",NSW,Australia,8
98,Allianora,Babalola,Female,1956-03-17,67,"Safety Technician IV",Health,"Mass customer",No,7,832,16,98,2017-07-30,FALSE,Approved,"Norco Bicycles",Standard,high,small,1661.92,1479.11,182.81,1994-09-09,"105 Shelley Alley",NSW,Australia,10
99,Reggie,Maleulliner,Male,1998-06-13,24,"VP Accounting","Financial Services","Mass customer",No,3,1019,88,99,2017-09-04,FALSE,Approved,"Norco Bicycles",Standard,medium,medium,1198.46,381.1,817.36,1998-12-16,"079 Merry Park",NSW,Australia,9
100,Tripp,Steed,Male,1968-05-11,55,"General Maleanager","Financial Services","Mass customer",Yes,4,5925,51,100,2017-05-10,TRUE,Approved,"OHM Cycles",Standard,high,medium,2005.66,1203.4,802.26,2014-07-28,"8722 Summit Alley",NSW,Australia,12
101,Goran,Kwietek,Male,1975-12-29,47,"Nurse Practicioner",Manufacturing,"High Net Worth",No,11,5150,93,101,2017-03-23,TRUE,Approved,"OHM Cycles",Standard,high,medium,1458.17,874.9,583.27,2006-02-02,"9554 Artisan Pass",NSW,Australia,10
102,Langsdon,TranFemaleield,Male,1956-11-27,66,"Quality Control Specialist",Manufacturing,"Affluent Customer",No,16,79,87,102,2017-09-12,TRUE,Approved,"Giant Bicycles",Standard,high,medium,1179,707.4,471.6,1997-08-25,"55850 Butterfield Road",NSW,Australia,9
103,Ethyl,RunhaMale,Female,1997-04-21,26,"Product Engineer","Financial Services","Affluent Customer",Yes,4,529,6,103,2017-06-03,TRUE,Approved,"OHM Cycles",Standard,high,medium,227.88,136.73,91.15,2003-08-05,"68 Little Fleur Crossing",NSW,Australia,12
104,Odille,Panketh,Female,1978-06-06,44,"AutoMaleation Specialist II",Health,"Mass customer",Yes,9,4653,0,104,2017-03-08,FALSE,Approved,,,,,1678.71,0,1678.71,0000-00-00,"85688 New Castle Crossing",QLD,Australia,10
105,Malearibeth,Pristnor,Female,2001-09-17,21,"Recruiting Manager",Manufacturing,"Mass customer",No,1,9467,79,105,2017-03-06,FALSE,Approved,"Norco Bicycles",Standard,medium,medium,1555.58,818.01,737.57,2007-08-04,"8611 Loomis Lane",NSW,Australia,10
106,Glyn,,Male,1966-07-03,56,"Software Test Engineer III",Health,"High Net Worth",Yes,18,5668,77,106,2017-06-19,FALSE,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,1660.88,2012-06-04,"7909 Pierstorff Crossing",NSW,Australia,9
107,Pris,Stallebrass,Female,1990-07-01,32,"Nurse Practicioner","Financial Services","Mass customer",Yes,9,8198,10,107,2017-10-10,TRUE,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,1103.43,1994-09-09,"01 Muir Parkway",NSW,Australia,12
